time,key
1728451984.085003,'t'
1728451984.4225507,'e'
1728451985.9744618,Key.backspace
1728451986.1102161,Key.backspace
1728451986.3797615,Key.shift
1728451986.672587,'t'
1728451986.8295548,'e'
1728451987.0773134,'s'
1728451987.2119198,'t'
1728451988.1120524,'1'
1728451990.7226496,'1'
1728451991.2855928,'2'
1728451991.712886,'3'
1728451992.0505989,'4'
1728451992.434119,'5'
1728451993.4906993,'6'
1728452015.9013457,'c'
1728452016.8457992,'1'
1728452145.4178839,'c'
1728452145.7535808,'1'
1728452230.0147808,'t'
1728452230.469871,'e'
1728452230.6988058,'s'
1728452230.830512,'t'
1728452231.8439264,'2'
1728452235.257269,'1'
1728452235.4199553,'2'
1728452235.644768,'3'
1728452235.870346,'4'
1728452236.095432,'5'
1728452236.2977087,'6'
1728452238.1205533,'1'
1728452238.3461456,'2'
1728452238.5700967,'3'
1728452238.818548,'4'
1728452239.0882137,'5'
1728452239.2681139,'6'
1728452242.3904994,'a'
1728452242.4634984,'p'
1728452242.5532691,'w'
1728452242.7117307,'l'
1728452243.2961457,'1'
1728452243.4764142,'2'
1728452243.6335618,'3'
1728452243.8358054,'1'
1728452243.993552,'2'
1728452244.151008,'3'
1728452244.5549529,Key.shift
1728452244.7133286,'@'
1728452245.0957177,'1'
1728452245.7483342,'6'
1728452245.906512,'3'
1728452246.3339899,'.'
1728452246.5134094,'c'
1728452246.6482718,'o'
1728452246.8287566,'m'
1728452254.4792979,'t'
1728452254.658221,'e'
1728452254.9058173,'s'
1728452255.447167,'t'
1728452255.8972986,'2'
1728452257.1114938,'1'
1728452257.3363905,'2'
1728452257.5397766,'3'
1728452257.7639892,'4'
1728452257.9887085,'5'
1728452258.2360525,'6'
1728452258.4611995,'7'
1728452258.6418624,'8'
1728452259.901894,'1'
1728452260.104608,'2'
1728452260.3295183,'3'
1728452260.5317752,'4'
1728452260.7788746,'5'
1728452261.0038745,'6'
1728452261.2509248,'7'
1728452261.4773018,'8'
1728452263.0735545,'a'
1728452263.209034,'p'
1728452263.298742,'w'
1728452263.3888133,'l'
1728452264.0210052,'1'
1728452264.177073,'2'
1728452264.3341422,'3'
1728452264.6941376,Key.shift
1728452264.8295872,'@'
1728452265.2791107,'1'
1728452265.5270202,'6'
1728452265.7521505,'3'
1728452266.1791272,'.'
1728452266.3595397,'c'
1728452266.494167,'o'
1728452266.696914,'m'
1728452283.1911697,'c'
1728452283.6177871,'1'
