time,key
1728464989.128359,'t'
1728464989.133361,'e'
1728464989.3352923,'s'
1728464989.4265206,'t'
1728464990.4831328,'1'
1728464994.370816,<97>
1728464994.3987327,<98>
1728464994.5109842,<99>
1728464994.7362885,<100>
1728464994.7577515,<101>
1728464994.8486974,<102>
1728464998.335267,Key.backspace
1728464998.846626,Key.backspace
1728464998.8796258,Key.backspace
1728464998.9086254,Key.backspace
1728464998.9399862,Key.backspace
1728464998.9709873,Key.backspace
1728464999.0167897,Key.backspace
1728464999.0470653,Key.backspace
1728464999.0803401,Key.backspace
1728464999.1108742,Key.backspace
1728464999.1416347,Key.backspace
1728464999.9106507,<97>
1728465000.204035,<98>
1728465000.518617,<99>
1728465001.2840297,<100>
1728465001.46376,<101>
1728465001.6438541,<102>
1728465014.6946533,'c'
1728465015.2576385,'1'
1728465141.4420912,'t'
1728465141.509112,'e'
1728465141.7115717,'s'
1728465141.778611,'t'
1728465141.959451,'2'
1728465148.141976,<97>
1728465148.1919947,<98>
1728465148.3044188,<99>
1728465148.5747242,<100>
1728465148.6193106,<101>
1728465148.733978,<102>
1728465150.7570636,<97>
1728465150.8694458,<98>
1728465150.9847243,<99>
1728465151.2748938,<100>
1728465151.3452659,<101>
1728465151.4102101,<102>
1728465153.1877997,<97>
1728465153.2778287,<98>
1728465153.368486,<99>
1728465155.1239803,<100>
1728465155.2570665,<100>
1728465155.572226,<104>
1728465156.0443678,<96>
1728465156.2922614,<103>
1728465156.7878292,<100>
1728465157.552952,<103>
1728465158.5196745,Key.shift_r
1728465158.610387,'@'
1728465158.835939,'q'
1728465158.9929264,'q'
1728465159.3978999,'c'
1728465159.802153,Key.backspace
1728465160.5459747,'.'
1728465160.7260625,'c'
1728465160.8600883,'o'
1728465161.063403,'m'
1728465170.4231331,'t'
1728465170.5361853,'e'
1728465170.6935503,'s'
1728465170.7605405,'t'
1728465170.963425,'2'
1728465172.8536296,<97>
1728465172.9658308,<98>
1728465173.0782177,<99>
1728465173.3930802,<100>
1728465173.4622314,<101>
1728465173.572477,<102>
1728465174.2031436,<103>
1728465174.2931304,<104>
1728465174.406119,<105>
1728465176.0050228,<97>
1728465176.07102,<98>
1728465176.1840231,<99>
1728465176.4081206,<100>
1728465176.4759521,<101>
1728465176.5437112,<102>
1728465176.7467716,<103>
1728465176.8138077,<104>
1728465176.8813546,<105>
1728465178.455757,<97>
1728465178.5234787,<98>
1728465178.6357596,<99>
1728465178.7927873,<100>
1728465179.0416136,<103>
1728465179.446086,<98>
1728465179.873401,<104>
1728465180.0763822,<105>
1728465180.0988781,<104>
1728465180.2783515,<105>
1728465181.605134,Key.shift_r
1728465181.6960096,'@'
1728465182.0336356,'q'
1728465182.21326,'q'
1728465182.483013,'.'
1728465183.743682,'c'
1728465183.8333848,'o'
1728465183.9906619,'m'
1728465196.5242565,Key.backspace
1728465196.6599147,Key.backspace
1728465196.816673,Key.backspace
1728465201.5195427,'c'
1728465202.0597222,'1'
