time,x,y,direction
1728458506.7693462,-1037,676,down
1728458539.4539206,-865,864,down
1728458539.4839208,-865,864,down
1728458539.5219994,-865,864,down
1728458539.5739915,-865,864,down
1728458539.9861774,-865,862,down
1728458540.002179,-865,862,down
1728458540.0171828,-865,862,down
1728458540.0471785,-865,862,down
1728458540.3395166,-865,862,down
1728458540.3545089,-865,862,down
1728458540.376513,-865,862,down
1728458540.3995082,-865,862,down
1728458540.4361207,-865,862,down
1728458558.0568078,-660,949,up
1728458558.0698087,-660,949,up
1728458558.0848076,-660,949,up
1728458558.0998082,-660,949,up
1728458558.12947,-660,949,up
1728458558.1592758,-660,949,up
1728458558.399973,-661,945,up
1728458558.4299738,-661,945,up
1728458558.4379725,-661,945,up
1728458558.4595003,-661,945,up
1728458558.4908116,-661,945,up
1728458560.1401498,-744,837,down
1728458560.6813588,-754,841,up
1728458560.7041626,-755,841,up
1728458560.74219,-756,839,up
1728458655.3273773,-794,550,down
1728458655.3433762,-801,554,down
1728458655.3663774,-806,555,down
1728458655.381377,-809,556,down
1728458655.4083517,-809,556,down
1728458655.4614336,-809,556,down
1728458655.681122,-810,559,down
1728458655.6941257,-810,559,down
1728458655.7090743,-811,559,down
1728458655.717074,-811,559,down
1728458655.7320714,-811,559,down
1728458655.7612572,-813,560,down
1728458655.8512495,-813,560,up
1728458655.8662539,-813,560,up
1728458655.8812504,-813,560,up
1728458655.896252,-813,560,up
1728458655.9115348,-813,560,up
1728458655.918533,-813,560,up
1728458655.9335828,-813,560,up
1728458655.9649568,-815,560,up
1728458656.0699232,-832,560,down
1728458656.0859268,-834,562,down
1728458656.0999238,-835,564,down
1728458656.114925,-835,566,down
1728458656.1299284,-835,568,down
1728458656.1599243,-826,571,down
1728458663.2323892,-1555,263,down
1728458663.27139,-1550,267,down
1728458663.30139,-1543,271,down
1728458663.3473897,-1518,281,down
1728458663.3833866,-1509,286,down
1728458663.6445951,-1369,322,down
1728458663.6696398,-1356,327,down
1728458663.6966364,-1355,328,down
1728458663.7422695,-1355,328,down
1728458664.604048,-1389,268,down
1728458664.6263144,-1389,268,down
1728458664.7323108,-1389,268,down
1728458676.298556,-1220,518,down
1728458676.313584,-1221,519,down
1728458676.338022,-1221,519,down
1728458676.3500376,-1221,519,down
1728458676.3650591,-1221,519,down
1728458676.3869889,-1222,519,down
1728458679.9498875,-1362,521,down
1728458679.9738877,-1362,522,down
1728458680.0643132,-1356,533,down
1728458680.3923159,-1351,538,up
1728458688.5620444,-846,197,up
1728458688.577048,-844,207,up
1728458688.6080174,-844,210,up
1728458688.666209,-844,212,up
1728458688.6960888,-844,212,up
1728458689.017939,-844,213,up
1728458689.0562677,-844,213,up
1728458689.1085036,-869,210,up
