time,key
1720508040.3810177,'e'
1720508040.724097,'v'
1720508072.9619563,'t'
1720508073.2382493,'e'
1720508073.6438215,'s'
1720508073.9579859,'t'
1720508074.385259,'1'
1720508077.6700392,'1'
1720508078.0311062,'2'
1720508078.5706334,'3'
1720508079.3143253,'4'
1720508079.6961923,'5'
1720508080.1458821,'6'
1720508096.6616726,Key.shift
1720508097.2471368,'c'
1720508097.9439263,'1'
1720508098.506716,Key.shift
1720508098.844822,Key.backspace
1720508099.2946377,'c'
1720508099.9236598,'1'
1720508164.5178359,'k'
1720508164.5688334,'e'
1720508165.0637014,Key.backspace
1720508165.1764886,Key.backspace
1720508165.3345509,Key.shift
1720508165.649475,'k'
1720508165.7623405,'e'
1720508165.9422262,'j'
1720508166.009279,'i'
1720508166.0765162,'a'
1720508166.189482,'n'
1720508166.414244,Key.space
1720508168.2374618,Key.backspace
1720508168.3949225,Key.backspace
1720508168.5522377,Key.backspace
1720508169.4965196,'k'
1720508169.6097622,'e'
1720508169.7213137,'j'
1720508169.7902844,'i'
1720508169.879683,'a'
1720508169.947076,'n'
1720508170.4424913,'2'
1720508296.5144026,'t'
1720508296.6494122,'e'
1720508296.9648504,'s'
1720508297.2569234,Key.shift
1720508297.8194685,'t'
1720508298.179977,'2'
1720508300.6095064,'1'
1720508300.9035473,'2'
1720508301.172045,'3'
1720508301.5325966,'4'
1720508301.8244689,'5'
1720508302.1176019,'6'
1720508306.5044048,'1'
1720508306.7751894,'2'
1720508307.0446422,'3'
1720508307.3379009,'4'
1720508307.629259,'5'
1720508307.877013,'6'
1720508311.319772,'w'
1720508311.6574388,'a'
1720508311.9943597,'n'
1720508312.1753979,'g'
1720508312.378576,'y'
1720508312.4903638,'i'
1720508312.6025524,'t'
1720508312.8285804,'i'
1720508312.8954473,'n'
1720508313.0074809,'g'
1720508313.5935757,'1'
1720508313.8850381,'9'
1720508314.200149,'9'
1720508314.3800638,'9'
1720508314.60556,Key.shift
1720508314.8987827,'@'
1720508315.3935263,'g'
1720508315.595474,'a'
1720508315.955815,Key.backspace
1720508316.2026985,'m'
1720508316.2925282,'a'
1720508316.450572,'i'
1720508316.7887492,'l'
1720508317.215116,'.'
1720508317.4853687,'c'
1720508317.6430633,'o'
1720508317.8002613,'m'
1720508347.793444,'w'
1720508347.951147,'y'
1720508348.0634694,'t'
1720508349.9540768,'1'
1720508350.2016752,'2'
1720508350.516596,'3'
1720508351.2594533,'4'
1720508351.5068533,'5'
1720508351.7761805,'6'
1720508352.0018044,'7'
1720508354.0715008,'1'
1720508354.2969468,'2'
1720508354.67926,'3'
1720508354.9942646,'4'
1720508355.2641604,'5'
1720508355.6016352,'6'
1720508355.8488257,'7'
1720508357.3573396,'w'
1720508357.626841,'a'
1720508358.1008332,'n'
1720508358.211957,'g'
1720508358.4154012,'y'
1720508358.4821734,'i'
1720508358.6170447,'t'
1720508358.7516603,'i'
1720508358.8194253,'n'
1720508358.8642716,'g'
1720508359.3829024,'1'
1720508360.1930299,'9'
1720508360.3721144,'9'
1720508360.5084288,'9'
1720508360.6643584,Key.shift
1720508360.7321439,'@'
1720508361.182166,'g'
1720508361.3394945,'a'
1720508361.4525616,'m'
1720508361.6551487,'i'
1720508361.8354325,'l'
1720508362.1275446,Key.backspace
1720508362.2400491,Key.backspace
1720508362.397354,Key.backspace
1720508362.5323346,Key.backspace
1720508363.0043645,'m'
1720508363.116438,'a'
1720508363.2296684,'i'
1720508363.4090385,'l'
1720508363.6798444,'.'
1720508363.8596256,'c'
1720508363.9497468,'o'
1720508364.152313,'m'
1720508383.525265,'c'
1720508384.088383,'1'
1720508385.078223,Key.enter
1720508385.5056698,Key.enter
1720508385.685198,Key.enter
1720508385.8428273,Key.enter
1720508386.0230176,Key.enter
1720508386.225201,Key.enter
1720508386.428824,Key.enter
1720508386.5861158,Key.enter
1720508386.787857,Key.enter
1720508386.96763,Key.enter
1720508387.1480777,Key.enter
1720508387.30555,Key.enter
1720508387.4856412,Key.enter
1720508387.665903,Key.enter
1720508387.8460207,Key.enter
1720508388.0258462,Key.enter
