time,x,y,direction
1720508117.9343448,-1040,704,up
1720508206.131946,-1148,512,up
1720508261.848917,-914,544,down
1720508261.940911,-914,544,down
1720508261.977154,-914,544,down
1720508262.0071554,-914,544,down
1720508262.037536,-914,544,down
1720508262.0745368,-914,544,down
1720508265.9830034,-904,575,down
1720508266.0060012,-902,585,down
1720508266.0282102,-902,589,down
1720508266.0798438,-901,592,down
1720508278.1931367,-802,816,up
1720508278.2071397,-802,816,up
1720508278.2224576,-802,816,up
1720508278.2381952,-802,816,up
1720508278.253226,-802,816,up
1720508278.2672217,-802,816,up
1720508278.297909,-802,816,up
1720508278.560016,-802,816,up
1720508278.5830176,-802,816,up
1720508278.6128495,-802,816,up
1720508337.220348,-936,802,down
1720508337.2423441,-935,801,down
1720508337.2873447,-935,801,down
1720508337.332369,-935,801,down
1720508337.3716466,-934,798,down
1720508337.7320185,-946,791,up
1720508379.6575563,-727,509,down
1720508379.6785553,-727,509,down
1720508379.7027967,-728,512,down
1720508379.7564156,-732,519,down
1720508379.7769575,-732,519,down
1720508379.8015022,-732,520,down
1720508379.9500859,-739,517,up
1720508379.9580863,-740,516,up
1720508379.9725795,-743,516,up
1720508379.988266,-748,513,up
1720508380.0031762,-754,511,up
1720508380.0101917,-756,510,up
1720508380.0405757,-768,506,up
