time,key
1728441389.782926,'t'
1728441389.9903815,'e'
1728441390.169936,'s'
1728441390.7102458,'t'
1728441391.587578,Key.shift
1728441392.465255,<97>
1728441395.2556012,<97>
1728441395.4583871,<98>
1728441395.8415158,<99>
1728441396.1781468,<100>
1728441396.5153925,<101>
1728441396.7628126,<102>
1728441426.0145874,'c'
1728441426.6444044,<97>
1728441549.0500312,'t'
1728441550.2864525,'e'
1728441550.5123212,'s'
1728441550.8938239,'t'
1728441551.5243342,<98>
1728441555.1026156,<97>
1728441555.3047323,<98>
1728441555.4850192,<99>
1728441555.7318237,<100>
1728441555.9124887,<101>
1728441556.0926743,<102>
1728441558.500375,<97>
1728441558.7020981,<98>
1728441558.8836265,<99>
1728441559.1744587,<100>
1728441559.37927,<101>
1728441559.53459,<102>
1728441565.7392368,'1'
1728441565.8132463,'1'
1728441565.9473681,'1'
1728441566.082874,'1'
1728441568.737459,Key.shift
1728441568.826998,'@'
1728441570.515029,'g'
1728441571.100045,'m'
1728441571.213046,'a'
1728441571.707964,'i'
1728441571.8651135,'l'
1728441573.3059285,'.'
1728441573.7999225,'c'
1728441573.890306,'o'
1728441574.0946102,'m'
1728441582.868316,'t'
1728441583.1159136,'e'
1728441583.296251,'s'
1728441583.431003,'e'
1728441584.668138,Key.backspace
1728441585.1184902,'t'
1728441585.6810918,<98>
1728441587.9533684,<97>
1728441588.156353,<98>
1728441588.2920275,<99>
1728441588.6065764,<100>
1728441588.7631116,<101>
1728441588.9207778,<102>
1728441591.0598025,<97>
1728441591.216268,<98>
1728441591.3729622,<99>
1728441591.621719,<100>
1728441591.8011034,<101>
1728441591.9818263,<102>
1728441596.8577294,'1'
1728441596.931476,'1'
1728441597.0658927,'1'
1728441598.6633976,Key.shift
1728441598.777108,'@'
1728441599.3161848,'q'
1728441599.4509094,'q'
1728441600.3742816,'.'
1728441600.9134572,'c'
1728441600.9820616,'o'
1728441601.2072477,'m'
1728441622.7851267,'t'
1728441623.324679,'e'
1728441623.6845286,'s'
1728441623.7523394,'t'
1728441624.7881217,<98>
1728441626.9925513,<97>
1728441627.172232,<98>
1728441627.3540416,<99>
1728441627.6217875,<100>
1728441627.805699,<101>
1728441627.9828942,<102>
1728441628.1849585,<103>
1728441630.5253785,<97>
1728441630.6826289,<98>
1728441630.8632164,<99>
1728441631.1323614,<100>
1728441631.3128557,<101>
1728441631.470436,<102>
1728441631.696022,<103>
1728441633.877471,'1'
1728441634.0358756,'1'
1728441634.1705325,'1'
1728441635.7669835,Key.shift
1728441635.8807716,'@'
1728441636.645548,'q'
1728441636.7817414,'q'
1728441637.81544,'.'
1728441638.3334517,'c'
1728441638.4235275,'o'
1728441638.6254404,'m'
1728441664.5487018,'c'
1728441665.0646212,<97>
1728441682.2772815,Key.backspace
1728441682.411899,Key.backspace
1728441682.5470147,Key.backspace
1728441687.002218,'c'
1728441687.7449343,<97>
