time,x,y,direction
1728441417.4941344,-828,451,down
1728441417.5091374,-828,451,down
1728441417.532137,-828,451,down
1728441417.5622327,-828,451,down
1728441472.1119647,-1090,412,down
1728441472.127964,-1090,413,down
1728441472.1509726,-1090,415,down
1728441472.1719735,-1090,416,down
1728441472.2241623,-1090,416,down
1728441472.6293244,-1090,416,down
1728441472.651969,-1090,416,down
1728441473.1545367,-1087,422,down
1728441473.177533,-1087,422,down
1728441473.199538,-1087,422,down
1728441473.2215376,-1087,422,down
1728441497.2168963,-909,385,down
1728441497.2388966,-912,388,down
1728441497.2602656,-912,389,down
1728441497.2772686,-912,389,down
1728441497.3142586,-912,389,down
1728441497.5074332,-912,389,up
1728441497.5236738,-912,389,up
1728441497.5302486,-912,389,up
1728441497.5461643,-912,389,up
1728441497.560454,-912,389,up
1728441497.597756,-912,389,up
1728441497.8238566,-912,389,up
1728441497.8756027,-912,389,down
1728441497.883601,-912,389,down
1728441497.8909304,-912,389,down
1728441497.8979292,-912,389,down
1728441497.9130602,-912,389,down
1728441497.9280615,-912,389,down
1728441498.1598668,-912,389,down
1728441498.1758718,-912,389,down
1728441498.1908693,-912,389,down
1728441498.220893,-912,389,down
1728441498.609906,-912,389,up
1728441498.6179075,-912,389,up
1728441498.6339097,-912,389,up
1728441498.640907,-912,389,up
1728441498.6482763,-912,389,up
1728441498.6786542,-912,389,up
1728441498.9632885,-912,389,down
1728441498.9712877,-912,389,down
1728441498.9782887,-912,389,down
1728441498.9927082,-912,389,down
1728441499.0091343,-912,389,down
1728441499.2554488,-912,389,down
1728441499.2700288,-912,389,down
1728441499.2780375,-912,389,down
1728441499.2850482,-912,389,down
1728441499.308769,-912,389,down
1728441500.2456515,-912,389,up
1728441500.25347,-912,389,up
1728441500.2604675,-912,389,up
1728441500.275395,-912,389,up
1728441500.2826967,-912,389,up
1728441500.3066154,-912,389,up
1728441500.5155213,-912,389,up
1728441500.5385187,-912,389,up
1728441500.5680938,-912,389,up
1728441505.0916822,-1021,604,down
1728441505.105683,-1021,604,down
1728441505.1208372,-1021,604,down
1728441505.1278505,-1021,604,down
1728441505.1504726,-1021,604,down
1728441505.3906937,-1021,604,down
1728441505.407698,-1021,604,down
1728441505.4136977,-1021,604,down
1728441505.4211593,-1021,604,down
1728441505.4361742,-1021,604,down
1728441505.4585729,-1021,604,down
1728441506.6585948,-1041,924,up
1728441506.6655984,-1041,924,up
1728441506.6816177,-1041,924,up
1728441506.6966696,-1041,924,up
1728441506.7256575,-1041,924,up
1728441510.867337,-1052,759,down
1728441510.8683386,-1052,759,down
1728441510.8694825,-1052,759,down
1728441510.870499,-1052,759,down
1728441510.8714948,-1052,759,down
1728441510.8734992,-1052,759,down
1728441510.9122467,-1052,759,down
1728441511.1443834,-1052,759,down
1728441511.181424,-1052,759,down
1728441511.2109563,-1052,759,down
1728441521.6818097,-670,848,up
1728441521.69681,-670,848,up
1728441521.719007,-670,848,up
1728441521.7423449,-670,848,up
1728441522.026605,-670,848,up
1728441522.0412073,-670,848,up
1728441522.0640035,-670,848,up
1728441526.0022426,-670,848,down
1728441526.0032413,-670,848,down
1728441526.004241,-670,848,down
1728441526.0062413,-670,848,down
1728441526.0092437,-670,848,down
1728441526.3614795,-670,848,down
1728441526.3765054,-670,848,down
1728441526.4073095,-670,848,down
1728441526.7594557,-670,848,down
1728441526.7745874,-670,848,down
1728441526.7895856,-670,848,down
1728441527.209309,-751,845,up
1728441527.2240126,-752,845,up
1728441527.2320204,-752,845,up
1728441527.2481406,-752,845,up
1728441527.2620878,-752,845,up
1728441527.480034,-752,845,up
1728441527.508958,-752,845,up
1728441527.5243611,-752,845,up
1728441527.5313587,-752,845,up
1728441527.547133,-752,845,up
1728441527.5541315,-752,845,up
1728441527.5992959,-752,845,up
1728441652.3594978,-1078,408,up
1728441652.3895478,-1078,408,up
1728441652.4115443,-1078,408,up
1728441652.4491374,-1078,408,up
1728441654.038966,-773,543,down
1728441654.0549676,-773,543,down
1728441654.0689678,-773,543,down
1728441654.0839794,-773,543,down
1728441654.1143544,-773,543,down
1728441654.3242154,-773,543,up
1728441654.3472245,-773,543,up
1728441654.348223,-773,543,up
1728441654.354224,-773,543,up
1728441654.3612227,-773,543,up
1728441654.3842247,-773,543,up
1728441751.6939845,-1350,307,down
1728441751.709989,-1350,307,down
1728441751.7229846,-1350,307,down
1728441751.746691,-1350,307,down
1728441751.7756884,-1350,307,down
