time,key
1728460134.3179502,'t'
1728460134.5479867,'e'
1728460135.1344435,'s'
1728460135.2245097,'t'
1728460136.3708208,'1'
1728460140.5111222,<97>
1728460140.6228979,<98>
1728460140.8492346,<99>
1728460141.3652418,<100>
1728460141.5232458,<101>
1728460141.8604293,<102>
1728460157.404046,'c'
1728460157.566381,'1'
1728460157.5893788,'c'
1728460159.0513759,Key.backspace
1728460238.682482,'c'
1728460239.0652065,'1'
1728460290.7949162,<97>
1728460290.9303339,<98>
1728460291.154374,<99>
1728460291.5827873,<100>
1728460291.6721087,<101>
1728460291.8302164,<102>
1728460417.6048958,'t'
1728460417.9021845,'e'
1728460418.3072476,'s'
1728460418.3981977,'t'
1728460419.094951,'2'
1728460422.8689091,<97>
1728460423.2581081,<98>
1728460424.1811495,<99>
1728460424.5860717,<100>
1728460424.7662742,<101>
1728460425.0127864,<102>
1728460427.060793,<97>
1728460427.1502264,<98>
1728460427.2635574,<99>
1728460427.7372189,<100>
1728460427.8938105,<101>
1728460428.0055037,<102>
1728460433.8043025,'1'
1728460433.9687946,'1'
1728460434.1935284,'1'
1728460437.1353962,Key.shift
1728460437.186219,'@'
1728460438.7612033,'q'
1728460438.9440694,'q'
1728460439.1454592,'/'
1728460439.551046,'c'
1728460439.705726,'o'
1728460439.9079978,','
1728460440.6511989,Key.insert
1728460441.2358592,Key.backspace
1728460441.4405935,Key.backspace
1728460441.6859539,Key.backspace
1728460442.0907438,Key.backspace
1728460442.9691544,'.'
1728460443.5331454,'c'
1728460443.7791696,'o'
1728460444.0269558,'m'
1728460455.7038364,'t'
1728460455.9744656,'e'
1728460456.2664742,'s'
1728460456.3353326,'t'
1728460457.3024151,'2'
1728460458.7196853,<97>
1728460458.9669054,<98>
1728460459.2147548,<99>
1728460459.575032,<100>
1728460459.8460946,<101>
1728460460.0924683,<102>
1728460460.3844411,<103>
1728460462.476858,<97>
1728460462.747199,<98>
1728460462.9729788,<99>
1728460463.287228,<100>
1728460463.534823,<101>
1728460463.7379453,<102>
1728460464.0299566,<103>
1728460465.8529055,'1'
1728460466.0328946,'1'
1728460466.1910725,'1'
1728460466.5951195,Key.shift
1728460466.7530813,'@'
1728460467.3607178,'q'
1728460467.5177248,'q'
1728460467.6972735,'/'
1728460468.5291224,Key.backspace
1728460468.9569395,','
1728460469.2963874,'c'
1728460469.5646718,'o'
1728460469.903355,'m'
