time,x,y,direction
1728460264.7322981,-308,597,down
1728460264.7544148,-308,597,down
1728460264.7774143,-308,597,down
1728460264.8220496,-308,597,down
1728460264.9569824,-308,597,up
1728460265.0923462,-308,597,down
1728460265.0993452,-308,597,down
1728460265.1143472,-308,597,down
1728460265.1223648,-308,597,down
1728460265.1525714,-308,597,down
1728460265.2347672,-308,597,up
1728460265.2577658,-308,597,up
1728460265.2717643,-308,597,up
1728460265.2877662,-308,597,up
1728460265.309764,-308,597,up
1728460265.3692918,-308,597,up
1728460265.482326,-308,597,down
1728460265.5043857,-308,597,down
1728460265.519941,-308,597,down
1728460385.9823675,-1249,653,down
1728460386.0054986,-1249,653,down
1728460386.0284495,-1248,651,down
1728460386.0593033,-1246,648,down
1728460386.2592626,-1245,645,up
1728460386.448027,-1245,644,down
1728460386.47032,-1245,644,down
1728460386.4844568,-1245,644,down
1728460386.501457,-1245,644,down
1728460386.5452452,-1245,644,down
1728460386.8520513,-1245,644,down
1728460386.8673906,-1245,644,down
1728460386.8893893,-1245,644,down
1728460386.9274786,-1245,644,down
1728460406.143934,-787,766,up
1728460406.1649356,-787,766,up
1728460406.1809206,-787,766,up
1728460406.2029095,-787,766,up
1728460406.4881508,-787,766,up
1728460406.517952,-787,766,up
1728460406.5409527,-787,766,up
1728460406.5556293,-787,766,up
1728460408.2054946,-682,584,up
1728460408.2280684,-682,584,up
1728460408.2501204,-682,584,up
1728460408.281328,-682,584,up
