time,x,y,
1728460120.135921,1685,56
1728460127.806792,-1164,139
1728460130.971716,-939,415
1728460138.104186,-922,477
1728460143.5353289,-910,715
1728460146.0403392,-945,721
1728460151.1399996,-1383,138
1728460154.5456538,-638,445
1728460160.6364374,-521,592
1728460171.0171301,-1140,503
1728460175.4860795,-1141,512
1728460179.304136,-1707,132
1728460180.9691446,-1695,564
1728460185.858907,-1694,562
1728460186.616151,-1694,562
1728460188.1997564,-1538,127
1728460192.2945695,-1581,118
1728460194.0414705,-1339,140
1728460198.947269,-1150,513
1728460199.998961,-1150,513
1728460200.2593613,-1150,513
1728460202.9827337,-1220,456
1728460203.9196396,-1800,129
1728460206.477387,-1707,578
1728460207.1295497,-1707,578
1728460209.2447395,-1697,544
1728460209.740095,-1698,560
1728460210.3247123,-1698,560
1728460211.0455267,-1698,560
1728460212.0502024,-1698,560
1728460214.6543093,-1340,147
1728460220.4507203,-1482,136
1728460221.5228145,-1482,136
1728460223.7047553,-1701,562
1728460224.3657148,-1701,562
1728460226.1352417,-220,562
1728460226.975912,-963,558
1728460228.5136666,-1553,137
1728460229.8334258,-1475,135
1728460229.9833298,-1475,135
1728460230.7781339,-1369,134
1728460233.0431259,-1130,501
1728460233.2388399,-1130,501
1728460234.7547324,-1102,449
1728460236.7635632,-1352,243
1728460240.393738,-182,233
1728460246.5216181,-1259,477
1728460247.3616822,-1351,380
1728460248.231098,-969,372
1728460250.189212,-1386,138
1728460252.109853,-1149,516
1728460254.0663142,-1139,500
1728460260.4655893,-1737,151
1728460263.577587,-229,579
1728460264.2073832,-228,579
1728460264.379914,-228,579
1728460266.2476835,-232,587
1728460266.855226,-226,584
1728460267.7469075,-1153,688
1728460267.9358685,-1153,688
1728460269.4728777,-226,578
1728460269.7567575,-226,578
1728460270.1098752,-226,578
1728460270.7635221,-226,578
1728460271.4600708,-902,531
1728460273.2001402,-1545,142
1728460275.9075303,-1210,128
1728460279.2458904,-1514,134
1728460281.443887,-1485,137
1728460284.9386096,-1714,134
1728460285.9510684,-1062,133
1728460286.2959557,-1122,132
1728460287.6080108,-932,423
1728460288.7035415,-878,467
1728460289.4014497,-924,486
1728460293.166271,-906,731
1728460296.135669,-940,731
1728460298.236491,-1325,150
1728460300.6737623,-1619,505
1728460300.8537242,-1619,505
1728460302.3013213,-1064,453
1728460302.916623,-957,368
1728460303.0882652,-957,368
1728460303.9664059,-576,367
1728460304.1165118,-575,367
1728460305.5637734,-683,465
1728460305.9317563,-673,476
1728460309.1410398,-586,454
1728460310.9271734,-904,482
1728460312.7340615,-638,462
1728460313.379135,-643,481
1728460314.1438313,-638,498
1728460314.7159228,-602,536
1728460321.9289715,-1134,369
1728460323.0322642,-1621,501
1728460323.3030577,-1621,501
1728460324.5323632,-1291,416
1728460325.604254,-1346,369
1728460326.594232,-1247,481
1728460327.4048908,-1278,472
1728460327.8698757,-1264,477
1728460328.0352802,-1264,477
1728460328.7327774,-1337,408
1728460329.7746964,-1342,139
1728460331.4402199,-1491,127
1728460332.4381387,-1088,618
1728460333.5480547,-1714,571
1728460334.7780375,-1383,562
1728460335.7071552,-1011,492
1728460336.0151901,-1011,492
1728460336.8336966,-1692,596
1728460337.7931256,-1692,596
1728460339.3598135,-1015,537
1728460339.8789291,-891,537
1728460340.7255728,-1037,537
1728460341.4916148,-1155,546
1728460344.2359025,-1465,476
1728460345.0835423,-1422,538
1728460347.1534352,-1745,139
1728460350.4756653,-1769,267
1728460351.0756774,-1534,137
1728460352.0431485,-1482,137
1728460353.1752672,-1338,131
1728460354.638786,-1135,368
1728460354.841427,-1135,368
1728460355.8467894,-1309,427
1728460356.7613237,-1630,503
1728460356.9789975,-1630,503
1728460358.066247,-985,474
1728460361.2016528,-668,476
1728460361.3886049,-668,476
1728460362.3260942,-777,452
1728460363.5646682,-527,364
1728460371.304737,-946,365
1728460371.4993756,-946,365
1728460372.6538599,-1364,384
1728460373.1865,-1353,367
1728460375.3035076,-1475,149
1728460376.404727,-1380,143
1728460378.916741,-1631,379
1728460379.0670598,-1631,379
1728460379.9672344,-1171,377
1728460380.1170511,-1171,377
1728460381.5873146,-1633,505
1728460381.76096,-1633,505
1728460382.6226807,-1039,496
1728460384.024696,-1273,479
1728460384.166912,-1273,479
1728460385.3217654,-1340,374
1728460385.4650788,-1340,374
1728460387.9994922,-930,1006
1728460399.0480213,-826,599
1728460401.9197462,-651,1006
1728460403.0910432,-780,1008
1728460404.066111,-1053,593
1728460405.1303852,-654,988
1728460410.4259276,-1178,121
1728460412.8418212,-1246,139
1728460415.1065083,-942,364
1728460420.303268,-933,422
1728460426.3115854,-896,500
1728460429.2003014,-935,574
1728460445.519608,-906,778
1728460448.4823675,-919,788
1728460452.6984043,-788,202
1728460453.9872353,-977,353
1728460457.9105582,-938,431
1728460461.6758687,-906,491
1728460465.1258469,-944,589
1728460471.3508453,-950,797
1728460474.1336265,-1382,140
1728460475.618305,-508,457
1728460477.5833561,-1041,232
1728460478.815293,-1613,295
1728460480.1643522,-161,228
1728460484.2066865,-801,589
1728460485.8565173,-1156,498
1728460488.3924794,-1146,500
1728460488.5353267,-1146,500
1728460490.7689216,-1605,513
1728460492.9670131,-1195,537
1728460494.0314372,-653,544
1728460497.4594283,-143,564
1728460498.3310893,-626,187
1728460499.4252656,-508,161
1728460501.6069443,-1707,255
1728460502.7467551,-1182,136
1728460506.5485928,1735,56
1728460507.1557841,1577,92
1728460508.3788602,940,591
