time,x,y,direction
1728361834.8071797,-965,484,down
1728361834.8314414,-964,492,down
1728361834.8374405,-963,493,down
1728361834.8534482,-960,496,down
1728361834.8605049,-958,498,down
1728361834.8805823,-956,499,down
1728361834.8970773,-955,500,down
1728361835.3311825,-977,447,down
1728361835.3471835,-977,451,down
1728361835.3621922,-977,456,down
1728361835.3701963,-977,456,down
1728361835.3841934,-977,456,down
1728361851.810225,-673,937,up
1728361851.8542256,-677,937,up
1728361851.8692243,-677,937,up
1728361851.8842232,-677,937,up
1728361851.899227,-677,937,up
1728361851.929224,-677,937,up
1728361852.1472244,-698,924,up
1728361852.169916,-698,924,up
1728361852.2064652,-698,924,up
1728361977.433993,-238,548,down
1728361977.4484055,-239,555,down
1728361977.4569962,-240,559,down
1728361977.4719946,-243,569,down
1728361977.4779923,-245,574,down
1728361977.4920151,-245,574,down
1728361977.5000246,-245,574,down
1728361977.5177333,-246,574,down
1728361977.7241778,-246,556,down
1728361977.7391768,-246,556,down
1728361977.7551959,-246,557,down
1728361977.7631996,-246,557,down
1728361977.7701974,-246,557,down
1728361977.7772014,-246,557,down
1728361977.7932537,-246,558,down
1728361977.853231,-261,559,up
1728361977.8932333,-364,559,up
1728361977.9062304,-443,559,up
1728361977.9232323,-529,559,up
1728361977.9302318,-575,559,up
1728361977.9432328,-662,561,up
1728361977.9682608,-741,565,up
1728361978.0092332,-742,565,up
1728361982.5484054,-238,559,down
1728361982.5634081,-287,584,down
1728361982.5804057,-320,604,down
1728361982.5944052,-331,613,down
1728361982.607406,-331,613,down
1728361982.6374047,-331,613,down
1728361982.795789,-339,616,up
1728361982.81079,-343,616,up
1728361982.8257887,-348,616,up
1728361982.8337924,-350,616,up
1728361982.8478765,-355,616,up
1728361982.8558965,-361,616,up
1728361982.870686,-384,616,up
1728361982.9018135,-492,610,up
