time,key
1728361548.7980826,'t'
1728361548.8268335,'e'
1728361548.9158294,'s'
1728361549.0509741,'t'
1728361549.8614557,'1'
1728361550.2431636,Key.tab
1728361551.907904,'1'
1728361551.9549034,'2'
1728361552.0429008,'3'
1728361552.4040263,'4'
1728361552.630008,'5'
1728361552.876409,'6'
1728361574.6517165,'c'
1728361574.993966,'1'
1728361648.5720692,Key.enter
1728361781.1479027,'1'
1728361781.170918,'2'
1728361781.260429,'3'
1728361781.598059,'4'
1728361781.846724,'5'
1728361782.3857753,'6'
1728361783.6452947,'1'
1728361784.1189091,'2'
1728361787.9669855,'1'
1728361788.4840522,'2'
1728361788.8670785,'3'
1728361790.3275409,Key.backspace
1728361790.5083234,Key.backspace
1728361790.665085,Key.backspace
1728361790.9811277,'1'
1728361791.6557734,'2'
1728361791.97098,'3'
1728361792.3090632,'4'
1728361792.6907303,'5'
1728361793.1652193,'6'
1728361867.0744128,'t'
1728361867.4170513,'e'
1728361867.438769,'s'
1728361868.2722971,'t'
1728361868.5198526,'2'
1728361868.9010434,Key.tab
1728361871.349198,'1'
1728361871.826394,Key.backspace
1728361872.7942202,'1'
1728361872.8847911,'2'
1728361873.0418007,'3'
1728361873.5375214,'4'
1728361873.784463,'5'
1728361874.2349777,'6'
1728361875.8993037,'1'
1728361875.967465,'2'
1728361876.057165,'3'
1728361876.3497941,'4'
1728361876.6208167,'5'
1728361876.8225021,'6'
1728361882.937581,Key.shift
1728361883.450296,Key.shift
1728361883.4826572,Key.shift
1728361883.5140111,Key.shift
1728361883.5450113,Key.shift
1728361883.5760107,Key.shift
1728361883.6070101,Key.shift
1728361883.6380975,Key.shift
1728361883.6842327,Key.shift
1728361883.713286,Key.shift
1728361883.7451108,Key.shift
1728361883.7764056,Key.shift
1728361883.8066711,Key.shift
1728361883.838967,Key.shift
1728361883.8691278,Key.shift
1728361883.9012334,Key.shift
1728361883.946767,Key.shift
1728361883.9801497,Key.shift
1728361884.0116575,Key.shift
1728361884.0433087,Key.shift
1728361884.073538,Key.shift
1728361884.1036773,Key.shift
1728361884.1362283,Key.shift
1728361884.1652458,Key.shift
1728361884.2113945,Key.shift
1728361884.2437718,Key.shift
1728361884.2755492,Key.shift
1728361884.3061118,Key.shift
1728361884.3361325,Key.shift
1728361884.3672585,Key.shift
1728361884.399305,Key.shift
1728361884.4312956,Key.shift
1728361884.4766574,Key.shift
1728361884.5081441,Key.shift
1728361884.5381446,Key.shift
1728361884.568706,Key.shift
1728361884.5992808,Key.shift
1728361884.630233,Key.shift
1728361884.674515,Key.shift
1728361884.7055228,Key.shift
1728361884.7378526,Key.shift
1728361884.7688792,Key.shift
1728361884.8009417,Key.shift
1728361884.833516,Key.shift
1728361884.863008,Key.shift
1728361884.8940067,Key.shift
1728361884.9250083,Key.shift
1728361884.971008,Key.shift
1728361885.0019188,Key.shift
1728361885.0333555,Key.shift
1728361885.0653746,Key.shift
1728361885.0954504,Key.shift
1728361885.1270132,Key.shift
1728361885.1585143,Key.shift
1728361885.2366924,Key.shift
1728361885.462703,'w'
1728361886.5651586,Key.backspace
1728361887.01439,Key.backspace
1728361887.2847433,'w'
1728361887.5776856,'u'
1728361888.0273094,'1'
1728361888.3650963,Key.backspace
1728361888.7242186,'x'
1728361888.9944465,Key.backspace
1728361889.1302977,'1'
1728361889.3098538,'1'
1728361889.4454472,'1'
1728361889.6252072,'1'
1728361889.8047626,'1'
1728361889.9625404,'1'
1728361890.2547612,Key.shift
1728361890.2999337,'@'
1728361893.1295617,'q'
1728361893.2253325,'q'
1728361893.451062,'.'
1728361893.5849185,'c'
1728361893.7199695,'o'
1728361893.8567622,'m'
1728361900.156194,'t'
1728361900.2684534,'e'
1728361900.3134546,'s'
1728361900.4025745,'t'
1728361901.078709,'2'
1728361901.234902,Key.tab
1728361905.528516,'1'
1728361906.0950406,Key.backspace
1728361906.2759461,'1'
1728361906.3656204,'2'
1728361906.4788032,'3'
1728361906.7704735,'4'
1728361907.0190258,'5'
1728361907.2217963,'6'
1728361908.2107508,Key.backspace
1728361908.368762,Key.backspace
1728361908.4804122,Key.backspace
1728361908.5932462,Key.backspace
1728361908.7081647,Key.backspace
1728361908.8176584,Key.backspace
1728361909.4719589,<97>
1728361909.5613213,<98>
1728361909.6506314,<99>
1728361910.0110064,<100>
1728361910.0780165,<101>
1728361910.1691432,<102>
1728361910.5283937,<103>
1728361910.595692,<104>
1728361910.642712,<105>
1728361911.3157365,Key.tab
1728361911.855684,Key.tab
1728361912.9359655,<97>
1728361913.116454,<98>
1728361913.205785,<99>
1728361913.4532452,<100>
1728361913.6118085,<101>
1728361913.7242439,<102>
1728361913.949049,<103>
1728361914.039297,<104>
1728361914.1516004,<105>
1728361914.3987038,Key.tab
1728361914.8491604,Key.tab
1728361916.44617,'w'
1728361916.513562,'u'
1728361918.0881162,'1'
1728361918.2700005,'1'
1728361918.4496415,'1'
1728361918.6063645,'1'
1728361918.7862637,'1'
1728361919.1456351,'1'
1728361919.4613647,Key.shift
1728361919.5737846,'@'
1728361920.4510493,'q'
1728361920.6098707,'q'
1728361920.812562,'.'
1728361921.014579,'c'
1728361921.103711,'o'
1728361921.2389593,'m'
1728361951.9552264,'c'
1728361952.313008,'`'
1728361955.5078702,'c'
1728361955.8450677,'1'
1728361979.6963036,Key.esc
1728361980.9564123,Key.enter
1728361981.4510684,Key.enter
