time,x,y,direction
1728455415.0049996,-636,704,up
1728455415.064998,-636,704,up
1728455415.080222,-636,704,up
1728455415.1038835,-636,704,up
1728455415.1180656,-636,704,up
1728455415.1477768,-636,704,up
1728455415.2013793,-636,704,up
1728455491.252647,-775,589,down
1728455491.2982018,-775,589,down
1728455491.3440309,-775,589,down
1728455491.395525,-775,589,down
1728455491.4632623,-775,589,down
1728455491.5237067,-775,589,down
1728455491.6515193,-775,589,up
1728455491.6731944,-775,589,up
1728455491.6967306,-775,589,up
1728455507.20746,-404,821,down
1728455507.2304595,-433,815,down
1728455507.238461,-440,814,down
1728455507.2525225,-447,812,down
1728455507.4618027,-448,811,down
1728455507.475824,-448,811,down
1728455507.4918468,-448,811,down
1728455507.5058677,-448,811,down
1728455507.5583317,-448,811,up
1728455507.5663483,-448,811,up
1728455507.582388,-448,811,up
1728455507.5893881,-448,811,up
1728455507.6128964,-451,809,up
