time,key
1727318091.6571186,'t'
1727318091.752887,'e'
1727318091.909887,'s'
1727318092.1131132,'t'
1727318092.607222,'1'
1727318094.610015,<97>
1727318094.7900598,<98>
1727318094.9473853,<99>
1727318095.2410097,<100>
1727318095.3763456,<101>
1727318095.5329845,<102>
1727318097.513165,<97>
1727318097.6707828,<98>
1727318097.827723,<99>
1727318098.0982273,<100>
1727318098.255452,<101>
1727318098.3911338,<102>
1727318103.5609806,'a'
1727318103.6151116,'a'
1727318103.7234042,'a'
1727318104.1729965,Key.shift_r
1727318104.5555725,'@'
1727318104.847839,'g'
1727318105.0740378,'m'
1727318105.0960388,'a'
1727318105.2985835,'i'
1727318105.4330728,'l'
1727318105.6586688,'.'
1727318105.8604782,'c'
1727318105.9292204,'o'
1727318105.9962404,'n'
1727318107.6379554,Key.backspace
1727318107.9311717,'m'
1727318138.370111,'t'
1727318138.3971317,'e'
1727318138.5318573,'s'
1727318138.6896365,'t'
1727318139.1618319,'1'
1727318141.52486,<97>
1727318141.659894,<98>
1727318141.8175585,<99>
1727318142.2681365,<100>
1727318142.447192,<101>
1727318142.604906,<102>
1727318170.8889294,'c'
1727318171.631508,'1'
1727318191.1614034,Key.backspace
1727318191.2745862,Key.backspace
1727318205.203779,'c'
1727318205.5621579,'1'
1727318275.1803238,'t'
1727318275.3833318,'e'
1727318275.585315,'s'
1727318275.7875898,'t'
1727318276.620077,'2'
1727318283.523323,Key.tab
1727318283.5243254,'q'
1727318285.845802,'q'
1727318286.070927,'w'
1727318286.2961426,'e'
1727318286.4991906,'r'
1727318286.7234213,'t'
1727318286.9264154,'y'
1727318287.1500149,'u'
1727318288.6133733,'q'
1727318288.883033,'w'
1727318289.130725,'e'
1727318289.3555233,'r'
1727318289.5814574,'t'
1727318289.7835624,'y'
1727318289.9873466,'u'
1727318313.3146386,'c'
1727318313.6576648,'1'
