time,x,y
1728456692.5246363,2050.050048828125,498.43597412109375
1728456692.5837092,1558.028076171875,579.0822143554688
1728456692.6133127,1126.30078125,371.70513916015625
1728456692.6444619,1022.755615234375,209.75189208984375
1728456692.6782475,846.6854248046875,100.70143127441406
1728456692.7050993,726.3768310546875,6.108838081359863
1728456692.7384965,510.6100158691406,115.62279510498047
1728456692.7694767,211.84730529785156,132.70201110839844
1728456692.7988255,276.7139587402344,152.412353515625
1728456692.829078,144.41673278808594,142.04371643066406
1728456692.8564103,62.373130798339844,85.88327026367188
1728456692.8890595,130.2580108642578,119.89586639404297
1728456692.920058,120.48258972167969,124.9886474609375
1728456692.9470596,132.2093048095703,125.83058166503906
1728456692.9816992,141.7255401611328,131.12060546875
1728456693.0127165,175.44650268554688,138.49594116210938
1728456693.0433412,367.638427734375,131.20150756835938
1728456693.0733533,596.0109252929688,127.49264526367188
1728456693.0989404,751.8069458007812,115.02162170410156
1728456693.1295822,831.946533203125,125.107421875
1728456693.1606083,875.3736572265625,137.0960235595703
1728456693.1904402,900.0687255859375,155.54847717285156
1728456693.2200315,927.7052001953125,154.01625061035156
1728456693.2538428,1013.8887939453125,152.6944122314453
1728456693.284639,1056.533447265625,163.5186004638672
1728456693.3143344,1082.0086669921875,157.3772735595703
1728456693.344438,1090.1256103515625,140.4100341796875
1728456693.3748708,1084.396484375,153.66323852539062
1728456693.405685,1088.7340087890625,160.0565948486328
1728456693.4371958,1084.9793701171875,172.60899353027344
1728456693.4652472,1223.3179931640625,168.17214965820312
1728456693.4922748,1562.22021484375,167.95040893554688
1728456693.5262742,1790.825439453125,151.57684326171875
1728456693.5562708,1896.086181640625,142.91732788085938
1728456693.5873165,1935.8807373046875,147.1529541015625
1728456693.616978,1959.4415283203125,154.08082580566406
1728456693.647039,1984.3670654296875,148.05441284179688
1728456693.6774762,1998.3531494140625,142.2864990234375
1728456693.7074926,2006.512451171875,139.99754333496094
1728456693.738577,2010.200439453125,140.99404907226562
1728456693.76827,1994.7576904296875,142.86497497558594
1728456693.7960494,1914.9339599609375,142.37548828125
1728456693.8274188,1553.0328369140625,172.45126342773438
1728456693.8584716,1247.252197265625,185.18309020996094
1728456693.888496,1082.253662109375,195.15927124023438
1728456693.9191906,1015.9967651367188,193.56240844726562
1728456693.9491904,973.645263671875,203.7559814453125
1728456693.9781919,941.3629150390625,190.1522216796875
1728456694.008892,911.50927734375,174.1341094970703
1728456694.039676,907.2500610351562,195.37477111816406
1728456694.070168,902.315185546875,217.8386688232422
1728456694.0998726,900.7628173828125,200.53067016601562
1728456694.1291115,859.468994140625,194.30795288085938
1728456694.1556554,828.9026489257812,201.88722229003906
1728456695.4863884,252.4817657470703,16.318443298339844
1728456696.5732217,945.3113403320312,2.5747456550598145
1728456696.6032212,988.6549072265625,18.485132217407227
1728456696.6332211,1014.3759155273438,36.686195373535156
1728456696.6642222,1032.692138671875,54.311275482177734
