time,key
1728456704.469705,'t'
1728456704.6787922,'e'
1728456704.9703627,'s'
1728456706.5453548,'t'
1728456707.941153,'1'
1728456714.1448963,<97>
1728456714.3086,<98>
1728456714.4877627,<99>
1728456714.7812757,<100>
1728456714.98391,<101>
1728456715.1863952,<102>
1728456738.649849,'c'
1728456739.0591552,'1'
1728456838.1986141,<97>
1728456838.446683,<98>
1728456838.6936746,<99>
1728456839.908707,<100>
1728456840.156619,<101>
1728456840.3813808,<102>
1728456975.2692978,'y'
1728456975.3422983,'a'
1728456975.546336,'n'
1728456975.8153331,'g'
1728456976.804021,'p'
1728456976.9390228,'a'
1728456977.097021,'n'
1728456983.1505597,<97>
1728456983.3525248,<98>
1728456983.509982,<99>
1728456984.4775188,<100>
1728456984.679723,<101>
1728456986.9305363,<97>
1728456987.112292,<98>
1728456987.3355854,<99>
1728456987.6961021,<100>
1728456987.8747404,<101>
1728456991.6274214,'y'
1728456991.7454922,'p'
1728456996.0607026,'1'
1728456996.1999743,'8'
1728456996.6052063,'3'
1728456997.2129655,'9'
1728456997.5506718,'7'
1728456997.7751856,'8'
1728456998.2476814,'5'
1728456999.080479,'1'
1728456999.2382505,'2'
1728456999.4180834,'5'
1728457000.5446436,'9'
1728457001.172829,Key.shift
1728457001.3527994,'@'
1728457002.455875,'1'
1728457002.9729106,'6'
1728457003.3339021,'3'
1728457003.8967645,'.'
1728457004.2785652,'c'
1728457004.5030808,'0'
1728457004.8864691,'m'
1728457006.7312038,Key.backspace
1728457007.180533,Key.backspace
1728457007.9015903,'o'
1728457008.1480587,','
1728457008.8910756,Key.backspace
1728457009.2293944,'m'
1728457045.478152,<97>
1728457045.702559,<98>
1728457045.90449,<99>
1728457046.1755476,<100>
1728457046.3776963,<101>
1728457046.5804906,<102>
1728457046.8513331,<103>
1728457048.852708,<97>
1728457049.055753,<98>
1728457049.258666,<99>
1728457049.5957308,<100>
1728457049.7974062,<101>
1728457050.000666,<102>
1728457050.2699106,<103>
1728457052.6773813,'y'
1728457052.7897575,'p'
1728457053.3985622,<97>
1728457053.6684961,<104>
1728457053.9385045,<99>
1728457054.230669,<105>
1728457054.4556015,<103>
1728457054.6360052,<104>
1728457054.8378782,<101>
1728457055.0859413,<97>
1728457055.2660792,<98>
1728457055.4448903,<101>
1728457055.6255496,<105>
1728457056.8879743,Key.shift
1728457057.06596,'@'
1728457058.23597,<97>
1728457058.483031,<102>
1728457058.7298536,<99>
1728457059.3605533,<110>
1728457059.9701257,'c'
1728457060.1732118,'o'
1728457060.5980124,'m'
1728457085.9070485,'c'
1728457086.2497156,'1'
