time,x,y,direction
1720603141.9058657,-655,835,up
1720603141.9208705,-655,835,up
1720603141.9351165,-655,835,up
1720603141.9573274,-655,835,up
1720603141.9886467,-655,835,up
1720603142.197919,-655,835,up
1720603142.2128532,-655,835,up
1720603142.227853,-655,835,up
1720603142.2501955,-655,835,up
1720603142.287758,-655,835,up
1720603234.7898166,-1126,501,down
1720603234.8044713,-1126,501,down
1720603234.8261547,-1126,501,down
1720603234.8415313,-1126,501,down
1720603234.8565214,-1126,501,down
1720603235.0447204,-1123,501,down
1720603235.0597193,-1123,501,down
1720603235.081709,-1123,501,down
1720603235.6747637,-912,578,down
1720603235.7332792,-908,580,down
1720603235.7573059,-905,580,down
