time,x,y,
1728360284.4332118,1481,133
1728360284.434217,1410,122
1728360284.43721,1398,122
1728360284.4382086,1377,123
1728360284.4442074,1365,124
1728360284.4512074,1353,126
1728360284.4592128,1341,129
1728360284.4671037,1329,132
1728360284.4741228,1317,134
1728360284.482123,1305,137
1728360284.4891245,1293,140
1728360284.497127,1281,142
1728360284.504145,1269,145
1728360284.5121436,1255,149
1728360284.5191455,1240,153
1728360284.527144,1225,158
1728360284.5341606,1208,162
1728360284.5421617,1191,165
1728360284.5492802,1175,167
1728360284.5562756,1158,170
1728360284.5642736,1144,171
1728360284.5722816,1133,171
1728360284.579538,1123,171
1728360284.586643,1116,171
1728360284.6016452,1116,171
1728360284.6096451,1116,170
1728360284.61717,1117,167
1728360284.6241677,1119,165
1728360284.6321702,1123,159
1728360284.6391678,1131,151
1728360284.6462514,1140,142
1728360284.6542702,1155,130
1728360284.661797,1176,115
1728360284.669797,1199,100
1728360284.676798,1229,84
1728360284.6847963,1258,71
1728360284.6917958,1286,60
1728360284.6997988,1311,49
1728360284.7070086,1330,41
1728360284.714015,1332,40
1728360284.7450547,1331,38
1728360284.7520785,1327,36
1728360284.7592833,1320,35
1728360284.7672782,1305,32
1728360284.7742832,1283,29
1728360284.7832835,1245,25
1728360284.7902815,1193,21
1728360284.7972791,1124,13
1728360284.8043046,1045,6
1728360284.812305,949,-5
1728360284.819306,843,-13
1728360284.8263092,726,-17
1728360284.8343053,603,-20
1728360284.8423073,473,-22
1728360284.8493333,343,-23
1728360284.8573408,219,-20
1728360284.8643863,100,-16
1728360284.8713815,-10,-14
1728360284.8803844,-102,-11
1728360284.8870704,-99,-8
1728360284.8940718,-92,-5
1728360284.9020705,-78,-3
1728360284.9101017,-71,0
1728360284.9160988,-61,0
1728360284.9240994,-48,0
1728360284.9330997,-34,0
1728360284.9395754,-24,0
1728360284.9479964,-15,-1
1728360284.9539962,-1,-1
1728360284.961998,0,0
1728360284.9697075,0,-3
1728360284.9767084,1,-3
1728360284.9846468,4,-1
1728360284.992256,6,0
1728360284.9992502,6,0
1728360285.164409,7,0
1728360285.1734219,13,0
1728360285.1797647,28,2
1728360285.1872675,45,6
1728360285.1942677,60,9
1728360285.2012677,73,12
1728360285.2099009,75,13
1728360285.2165842,76,13
1728360285.224591,77,13
1728360285.2325878,77,13
1728360285.2395866,77,11
1728360285.247262,77,8
1728360285.2548056,73,2
1728360285.2618024,65,-8
1728360285.2688031,52,-15
1728360285.2768059,29,-23
1728360285.2848039,-9,-31
1728360285.2918038,-51,-37
1728360285.298804,-61,-40
1728360285.3068023,-67,-39
1728360285.3145337,-73,-37
1728360285.3218231,-79,-34
1728360285.3298252,-82,-32
1728360285.3367493,-85,-29
1728360285.3445895,-84,-23
1728360285.3515942,-84,-21
1728360285.3595881,-80,-19
1728360285.3669915,-77,-15
1728360285.3749988,-73,-13
1728360285.3819916,-70,-9
1728360285.3900125,-62,-8
1728360285.397011,-59,-4
1728360285.4047792,-52,-5
1728360285.4117951,-44,-2
1728360285.4197938,-38,-2
1728360285.4267955,-31,0
1728360285.433795,-28,0
1728360285.4417915,-20,0
1728360285.4497967,-18,0
1728360285.4567928,-15,0
1728360285.4647946,-12,0
1728360285.4717932,-2,1
1728360285.4797947,-1,1
1728360285.4867952,-3,2
1728360285.4937966,-2,3
1728360285.5017958,-2,3
1728360285.5097935,-1,4
1728360285.516794,-1,5
1728360285.5247927,-1,6
1728360285.5317926,-1,6
1728360285.5467937,-2,7
1728360285.5537956,-3,9
1728360285.5617955,-4,10
1728360285.5697925,-6,13
1728360285.577794,-8,16
1728360285.5847974,-8,17
1728360285.5917938,-9,19
1728360285.5993378,-11,22
1728360285.6063936,-11,27
1728360285.6144133,-12,31
1728360285.6215975,-13,34
1728360285.629582,-14,38
1728360285.6375754,-15,44
1728360285.6455755,-16,51
1728360285.652574,-17,59
1728360285.6595736,-18,67
1728360285.6675737,-19,78
1728360285.6751034,-20,90
1728360285.6821232,-21,102
1728360285.689449,-22,115
1728360285.69794,-23,129
1728360285.7049441,-23,141
1728360285.711942,-23,151
1728360285.7190728,-23,162
1728360285.7275105,-21,170
1728360285.7347045,-17,179
1728360285.7420843,-12,187
1728360285.7505856,-5,195
