time,x,y,direction
1727253495.4109657,-293,566,down
1727253495.4329662,-293,566,down
1727253495.4559698,-293,566,down
1727253495.4779847,-293,566,down
1727253495.5164754,-293,566,down
1727253517.8303723,-843,529,down
1727253517.87547,-843,534,down
1727253517.9193385,-843,537,down
1727253517.957996,-843,540,down
1727253518.0548725,-843,556,down
1727253617.5691984,-965,562,down
1727253617.5842109,-965,563,down
1727253617.608214,-963,567,down
1727253617.623095,-961,570,down
1727253617.6381288,-960,573,down
1727253617.6599658,-958,575,down
1727253617.6891131,-954,577,down
1727253708.2848334,-884,978,down
1727253708.314834,-884,977,down
1727253708.3464136,-884,977,down
1727253708.3754132,-884,977,down
1727253708.4129314,-884,977,down
1727253708.6817105,-872,951,down
1727253708.6977274,-872,951,down
1727253708.712314,-872,951,down
1727253708.727333,-872,951,down
1727253708.7343307,-872,951,down
1727253708.750346,-872,951,down
1727253716.0716686,-669,919,up
1727253716.0926697,-669,919,up
1727253716.130048,-669,919,up
1727253716.1670709,-669,919,up
1727253716.4904296,-670,913,up
1727253716.49843,-670,913,up
1727253716.5200753,-670,913,up
1727253716.535074,-670,913,up
1727253716.5723972,-670,913,up
1727253716.6252182,-670,913,up
1727253716.971306,-675,902,up
1727253716.9853046,-675,900,up
1727253717.0013075,-675,899,up
1727253717.0083063,-676,897,up
1727253717.038333,-678,888,up
1727253801.7390773,-1285,449,down
1727253802.068205,-1285,449,down
1727253817.6489167,-1136,510,down
1727253817.669914,-1135,514,down
1727253817.6782587,-1133,515,down
1727253817.694553,-1132,516,down
1727253817.706891,-1131,518,down
1727253817.7152627,-1130,518,down
1727253817.7302651,-1128,519,down
1727253817.7532773,-1123,520,down
1727253817.9930675,-954,664,down
1727253818.0080843,-952,677,down
1727253818.0303254,-952,695,down
1727253818.0453258,-952,706,down
1727253818.0603275,-952,713,down
1727253818.0752463,-952,715,down
1727253818.3682907,-1010,687,up
1727253818.3902905,-1049,670,up
1727253818.4054067,-1070,660,up
1727253818.4206293,-1088,652,up
1727253818.4503837,-1113,638,up
1727253824.076591,-1116,481,down
1727253824.0936673,-1112,483,down
1727253824.1076658,-1110,484,down
1727253824.1296678,-1105,489,down
1727253824.1516674,-1098,494,down
1727253824.1736643,-1090,497,down
1727253824.64469,-947,511,down
1727253824.6606889,-946,511,down
1727253824.6901143,-943,511,down
1727253824.7071252,-942,513,down
1727253825.0203118,-859,542,up
1727253825.0343122,-859,542,up
1727253825.0433142,-859,542,up
1727253825.0583744,-859,542,up
1727253825.072384,-859,542,up
1727253825.0955071,-858,542,up
1727253825.3063908,-834,497,up
1727253825.3359227,-832,495,up
1727253825.351928,-832,493,up
1727253825.394902,-832,493,up
1727253826.9266407,-600,612,up
1727253826.9716384,-590,620,up
1727253827.008638,-584,621,up
1727253827.0626452,-576,618,up
