time,key
1728366086.1545112,'u'
1728366086.3340254,'s'
1728366086.807029,'e'
1728366088.4041216,'r'
1728366089.0794485,'`'
1728366090.3392997,Key.backspace
1728366090.968816,'1'
1728366091.778806,Key.backspace
1728366091.9808156,Key.backspace
1728366092.16159,Key.backspace
1728366092.3412645,Key.backspace
1728366092.5902514,Key.backspace
1728366093.8041294,'t'
1728366094.163592,'e'
1728366094.817203,'s'
1728366095.0424216,'t'
1728366096.0314558,'1'
1728366097.7869456,'1'
1728366098.0344894,'2'
1728366098.2597322,'3'
1728366098.5078917,'4'
1728366098.7792926,'5'
1728366099.0495853,'6'
1728366129.9626305,'c'
1728366130.7958145,'1'
1728366271.0671175,'t'
1728366271.3817174,'e'
1728366271.7414136,'s'
1728366271.877671,'t'
1728366272.3270836,'2'
1728366274.8245661,'1'
1728366275.0045695,'1'
1728366275.364032,'1'
1728366277.0520084,'1'
1728366277.2996593,'1'
1728366277.5017138,'1'
1728366279.977107,'1'
1728366280.336813,'2'
1728366280.6978476,'3'
1728366284.089187,'3'
1728366284.1412022,'6'
1728366284.3423836,'5'
1728366284.4128082,'3'
1728366286.1656487,'.'
1728366288.2795942,Key.backspace
1728366289.0898175,Key.shift_r
1728366289.225378,'@'
1728366289.7428446,'q'
1728366289.9673045,'q'
1728366290.934701,'.'
1728366291.3406935,'c'
1728366291.5427153,'o'
1728366291.7233825,'m'
1728366302.0513525,'t'
1728366302.2551453,'e'
1728366302.7036147,'s'
1728366302.8162599,'t'
1728366303.266116,'2'
1728366305.0213478,'1'
1728366305.2676656,'2'
1728366305.5163522,'3'
1728366305.7634056,'4'
1728366306.0782368,'5'
1728366306.3034308,'6'
1728366308.172892,'1'
1728366308.4639971,'2'
1728366308.7555153,'3'
1728366309.0265312,'4'
1728366309.296353,'5'
1728366309.5889184,'6'
1728366312.1316555,'1'
1728366312.424353,'2'
1728366312.5599883,'5'
1728366312.7383673,'3'
1728366312.873301,'6'
1728366313.07616,'6'
1728366314.9885,'.'
1728366316.0015566,'2'
1728366316.6986668,Key.backspace
1728366318.1833296,Key.backspace
1728366318.6339216,Key.shift_r
1728366318.8157077,'@'
1728366319.5344777,'q'
1728366319.6915548,'q'
1728366319.9844449,'.'
1728366320.4812605,'c'
1728366320.6358082,'o'
1728366320.793464,'m'
1728366343.384976,'u'
1728366343.6998634,'s'
1728366344.06027,'e'
1728366344.330468,'r'
1728366345.3429234,'1'
1728366346.016931,Key.backspace
1728366346.220043,'2'
1728366347.8848128,'1'
1728366348.1101658,'2'
1728366348.3349955,'3'
1728366348.5819962,'4'
1728366348.852226,'5'
1728366349.2122135,'6'
1728366349.5060725,'7'
1728366351.192818,'1'
1728366351.4633515,'2'
1728366351.7784536,'3'
1728366352.0707147,'4'
1728366352.318429,'5'
1728366352.587793,'6'
1728366352.8133721,'7'
1728366355.4232934,'2'
1728366355.5583577,'5'
1728366355.7604713,'3'
1728366355.987202,'6'
1728366356.1902874,'4'
1728366356.3923504,'7'
1728366358.5729883,Key.shift_r
1728366359.0763197,Key.shift_r
1728366359.1203182,Key.shift_r
1728366359.1533551,Key.shift_r
1728366359.185405,Key.shift_r
1728366359.216342,Key.shift_r
1728366359.2467175,Key.shift_r
1728366359.2804048,Key.shift_r
1728366359.312418,Key.shift_r
1728366359.3435576,Key.shift_r
1728366359.3737764,Key.shift_r
1728366359.405419,Key.shift_r
1728366359.45171,Key.shift_r
1728366359.4828734,Key.shift_r
1728366359.5122843,Key.shift_r
1728366359.5455663,Key.shift_r
1728366359.5626156,'@'
1728366359.9912388,'q'
1728366360.1710334,'q'
1728366360.4184744,'.'
1728366360.8910925,'c'
1728366361.0258334,'o'
1728366361.20778,'m'
1728366421.6446605,'c'
1728366423.4224286,'1'
