time,x,y,direction
1728368027.0814188,-1178,568,down
1728368027.105859,-1176,567,down
1728368027.1338277,-1175,566,down
1728368027.157593,-1175,565,down
1728368027.2016659,-1175,565,down
1728368027.4725957,-1196,427,up
1728368059.5873141,-963,509,down
1728368059.677835,-963,509,down
1728368256.673297,-617,675,down
1728368256.6962967,-617,675,down
1728368256.711117,-617,675,down
1728368256.7261174,-617,675,down
1728368256.7431178,-617,674,down
1728368256.759117,-617,672,down
1728368256.7791197,-617,672,down
1728368256.9521182,-614,654,up
1728368256.9891226,-614,652,up
1728368257.2814345,-613,651,down
1728368257.3038557,-613,651,down
1728368257.3186674,-613,651,down
1728368257.3346844,-613,651,down
1728368257.3557346,-613,651,down
1728368257.393741,-613,651,down
1728368257.731359,-613,651,down
1728368257.768377,-613,651,down
1728368276.2947016,-719,921,down
1728368276.3247006,-719,921,down
1728368276.3467064,-719,921,down
1728368276.3696992,-719,921,down
1728368276.3997009,-719,921,down
1728368276.4457073,-719,921,down
1728368278.7548754,-893,959,down
1728368278.7918777,-893,959,down
1728368278.821878,-893,959,down
1728368278.851876,-893,959,down
1728368278.9048781,-893,959,down
1728368308.0367994,-901,732,up
1728368308.0517995,-901,732,up
1728368308.0588012,-901,732,up
1728368308.065799,-901,732,up
1728368308.0748005,-901,732,up
1728368308.0888023,-901,732,up
1728368308.1117992,-901,732,up
1728368308.1908133,-900,730,up
1728368430.0833943,-883,480,down
1728368430.1104054,-884,480,down
1728368430.1414046,-884,480,down
1728368430.2164044,-884,480,down
1728368431.8303883,-806,540,down
1728368431.852402,-806,540,down
1728368431.8664005,-806,540,down
1728368431.881403,-806,540,down
1728368431.9034007,-806,540,down
1728368431.9334013,-806,540,down
1728368431.9784713,-806,540,down
1728368432.3547254,-889,523,up
1728368432.3727286,-908,519,up
1728368432.3787274,-917,517,up
1728368432.3937302,-930,512,up
1728368432.4067278,-931,511,up
1728368432.4287267,-932,510,up
1728368432.4807236,-932,510,up
1728368432.6617641,-933,510,down
1728368432.6837633,-934,509,down
1728368432.6927624,-934,509,down
1728368432.6987622,-934,509,down
1728368432.7064793,-934,509,down
1728368432.7214785,-934,509,down
1728368432.7434962,-934,509,down
1728368434.2973819,-917,413,down
1728368434.320386,-933,413,down
1728368434.3343825,-948,413,down
1728368434.343385,-955,413,down
1728368434.3503864,-961,413,down
1728368434.3643832,-976,413,down
1728368434.3803806,-988,413,down
1728368434.4183831,-1000,413,down
1728368434.4853835,-1007,409,up
1728368434.4923801,-1010,408,up
1728368434.507387,-1012,407,up
1728368434.5223832,-1013,406,up
1728368434.5293827,-1015,405,up
1728368434.5443838,-1019,403,up
1728368434.559382,-1022,401,up
1728368434.5973856,-1031,395,up
1728368448.8926878,-920,577,down
1728368448.9154146,-936,577,down
1728368448.931412,-938,577,down
1728368448.9443676,-938,577,down
1728368448.9673727,-938,577,down
1728368448.996724,-938,577,down
1728368449.0344534,-938,577,down
1728368449.3793926,-938,577,up
1728368449.401717,-938,577,up
1728368449.416717,-938,577,up
1728368449.424387,-938,577,up
1728368449.4397411,-938,577,up
1728368449.4541976,-938,577,up
1728368449.4772236,-938,577,up
1728368449.6361678,-938,577,down
1728368449.6491697,-938,577,down
1728368449.657167,-938,577,down
1728368449.6651704,-938,577,down
1728368449.6721704,-938,577,down
1728368449.6941676,-938,577,down
1728368449.7091713,-938,577,down
1728368449.8218138,-939,577,up
1728368449.8298109,-939,577,up
1728368449.8444936,-939,577,up
1728368449.9948032,-939,577,down
1728368450.0098135,-939,577,down
1728368450.0168083,-939,577,down
1728368450.0238073,-939,577,down
1728368450.039237,-939,577,down
1728368450.0462382,-939,577,down
1728368450.062239,-939,577,down
1728368450.6468177,-939,577,down
1728368450.668858,-939,577,down
1728368450.6838765,-939,577,down
1728368450.692897,-939,577,down
1728368450.7069674,-939,577,down
1728368450.7139628,-939,577,down
1728368450.7297668,-939,577,down
1728368450.7597644,-939,577,down
1728368463.270719,-930,638,down
1728368463.2837179,-930,638,down
1728368463.2922378,-930,638,down
1728368463.3002393,-930,638,down
1728368463.3082387,-930,637,down
1728368463.3162384,-930,637,down
1728368463.3242378,-930,636,down
1728368463.3372443,-930,635,down
1728368463.5554533,-968,592,down
1728368463.5624502,-968,592,down
1728368463.5714495,-968,592,down
1728368463.5774481,-968,592,down
1728368463.584449,-968,592,down
1728368463.592448,-968,592,down
1728368463.5994473,-968,592,down
1728368463.690505,-968,592,up
1728368463.7064962,-969,589,up
1728368463.7224965,-971,585,up
1728368463.737498,-973,576,up
1728368481.6237333,-991,876,down
1728368481.6387718,-993,876,down
1728368481.6527324,-993,876,down
1728368481.6617312,-993,875,down
1728368481.6767316,-993,875,down
1728368481.6917324,-993,874,down
1728368481.706735,-993,872,down
1728368481.73573,-994,871,down
1728368481.857647,-1015,810,up
1728368481.8793442,-1039,723,up
1728368487.9315503,-765,309,down
1728368487.9545465,-755,335,down
1728368487.9695473,-752,350,down
1728368487.9775465,-752,351,down
1728368487.9925485,-752,353,down
1728368487.999549,-752,353,down
1728368488.0295928,-752,357,down
1728368488.1196797,-752,363,up
1728368488.1257331,-752,363,up
1728368488.1345243,-752,362,up
1728368488.1410887,-752,362,up
1728368488.1560874,-752,362,up
1728368488.1708324,-752,361,up
1728368488.194247,-752,359,up
