time,x,y
1729563162.389206,353.1245422363281,902.5855712890625
1729563162.9353843,1082.562744140625,28.51572036743164
1729563162.9653842,1020.6478881835938,57.68693161010742
1729563162.9953897,991.864990234375,74.63739776611328
1729563163.0253851,980.907470703125,87.03085327148438
1729563163.0553885,979.2109375,103.07869720458984
1729563163.086385,976.891845703125,117.02598571777344
1729563163.1163838,974.4509887695312,128.39292907714844
1729563163.146386,972.4708251953125,134.92982482910156
1729563163.1764107,987.1068725585938,140.0620880126953
1729563163.2062285,1002.6687622070312,141.82785034179688
1729563163.2362258,1012.7763671875,143.7631072998047
1729563163.26625,1019.317626953125,145.89892578125
1729563163.297248,1024.8341064453125,149.87130737304688
1729563163.3282466,1030.67578125,153.93052673339844
1729563163.3582463,1036.81005859375,158.42974853515625
1729563163.3882468,1043.349365234375,165.81146240234375
1729563163.418248,1050.155517578125,173.7213134765625
1729563163.4488559,1056.899658203125,181.69558715820312
1729563163.4790227,1062.848876953125,187.58367919921875
1729563163.5102615,1065.90185546875,193.12623596191406
1729563163.5392656,1068.791748046875,197.55148315429688
1729563163.5702727,1071.8018798828125,201.82235717773438
1729563163.6002645,1074.3463134765625,205.60984802246094
1729563163.6302662,1075.1214599609375,211.23390197753906
1729563163.661265,1076.2999267578125,214.58071899414062
1729563163.6902685,1077.5177001953125,217.3399200439453
1729563163.721266,1079.25,219.0171661376953
1729563163.7512631,1078.871337890625,219.82565307617188
1729563163.7813766,1078.9090576171875,220.36082458496094
1729563163.812357,1079.0618896484375,220.94473266601562
1729563163.8423548,1079.0810546875,221.15530395507812
1729563163.8723578,1079.279052734375,221.33682250976562
1729563163.9023514,1079.84033203125,221.17645263671875
1729563163.9323578,1080.3211669921875,220.69786071777344
1729563163.9633532,1080.2916259765625,220.47970581054688
1729563163.9933565,1079.957275390625,219.88067626953125
1729563164.023354,1079.987060546875,219.600341796875
1729563164.0533574,1079.924560546875,219.30923461914062
1729563164.0833545,1080.1353759765625,219.37255859375
1729563164.114353,1080.2752685546875,219.59414672851562
1729563164.144353,1077.967041015625,226.77545166015625
1729563164.1743534,1055.76806640625,291.07293701171875
1729563164.2043514,1019.2206420898438,388.8258056640625
1729563164.2343583,991.5158081054688,463.01226806640625
1729563164.2643533,974.6971435546875,512.7982177734375
1729563164.2953513,965.8546142578125,535.9003295898438
1729563164.3253527,961.6181640625,547.4158935546875
