time,x,y,direction
1729563240.5111148,-1209,495,down
1729563240.5659332,-1206,496,down
1729563241.1854687,-1211,498,down
1729563241.2078867,-1211,498,down
1729563241.2319133,-1211,498,down
1729563241.2459323,-1211,498,down
1729563241.2689395,-1211,498,down
1729563241.2899387,-1211,498,down
1729563241.3129382,-1211,498,down
1729563241.6605282,-1209,499,down
1729563241.6745267,-1208,500,down
1729563241.6875265,-1208,500,down
1729563241.702539,-1208,500,down
1729563241.718566,-1208,500,down
1729563241.7555666,-1208,500,down
1729563247.5525937,-714,747,up
1729563247.583593,-714,747,up
1729563247.5985892,-714,747,up
1729563247.605588,-714,747,up
1729563247.62059,-714,747,up
1729563247.6355894,-714,747,up
1729563247.6505902,-714,747,up
1729563247.6805897,-714,747,up
1729563247.914178,-709,719,up
1729563247.9431796,-709,719,up
1729563247.9658163,-709,719,up
1729563247.9879432,-709,719,up
1729563248.0109437,-709,719,up
1729563248.025946,-709,719,up
1729563248.0559509,-709,719,up
1729563311.0965166,-1530,381,down
1729563311.112517,-1522,381,down
1729563311.1265175,-1521,381,down
1729563311.140516,-1521,381,down
1729563311.1555147,-1521,381,down
1729563311.163517,-1521,381,down
1729563311.1855183,-1521,381,down
1729563311.4348454,-1429,420,down
1729563311.449845,-1391,445,down
1729563311.4578469,-1372,456,down
1729563311.4648447,-1356,465,down
1729563311.487847,-1334,474,down
1729563311.502846,-1314,477,down
1729563311.7417157,-1060,542,down
1729563311.7577176,-1058,545,down
1729563311.7637177,-1056,548,down
1729563311.7717206,-1055,550,down
1729563311.7787173,-1054,550,down
1729563311.796773,-1052,551,down
1729563311.824771,-1044,553,down
1729563323.0142071,-1061,547,down
1729563323.0286293,-1061,547,down
1729563323.0516307,-1061,547,down
1729563323.0736306,-1061,547,down
1729563323.1046271,-1061,547,down
1729563323.1486611,-1061,547,down
1729563323.8019788,-1134,574,down
1729563323.815979,-1133,575,down
1729563323.8309796,-1133,575,down
1729563323.8389788,-1133,575,down
1729563323.853978,-1133,575,down
1729563323.8689792,-1133,575,down
1729563323.8988044,-1133,575,down
1729563335.178582,-796,605,down
1729563335.1935809,-796,605,down
1729563335.2015874,-796,605,down
1729563335.216584,-796,605,down
1729563335.2235808,-796,605,down
1729563335.2386034,-796,605,down
1729563335.2766044,-796,605,down
